Week,Sales,Week,Sales,Week,Sales,Week,Sales
1,102450,27,114980,53,167170,79,181560
2,98930,28,130250,54,161200,80,202130
3,91550,29,128070,55,166710,81,183740
4,111940,30,135970,56,156430,82,191880
5,103380,31,142370,57,162440,83,197950
6,112120,32,121300,58,177260,84,209040
7,105780,33,121380,59,163920,85,203990
8,103000,34,128790,60,166040,86,201220
9,111920,35,139290,61,182790,87,202370
10,106170,36,128530,62,169510,88,201100
11,106350,37,139260,63,173940,89,203210
12,113920,38,157960,64,179350,90,198770
13,126860,39,145310,65,177980,91,171570
14,115680,40,150340,66,180180,92,184320
15,122040,41,158980,67,188070,93,182460
16,134350,42,152690,68,191930,94,173430
17,131200,43,157440,69,186070,95,177680
18,132990,44,144500,70,171860,96,186460
19,126020,45,156340,71,180240,97,185140
20,152220,46,137440,72,180910,98,183970
21,137350,47,166750,73,185420,99,154630
22,132240,48,171640,74,195470,100,174720
23,144550,49,170830,75,183680,101,169580
24,128730,50,174250,76,190200,102,180310
25,137040,51,178480,77,186970,103,154080
26,136830,52,178560,78,182330,104,163560
