Year,Month,Temperature
1991,JAN,29.9
1991,FEB,40.9
1991,MAR,42.8
1991,APR,47.8
1991,MAY,58.2
1991,JUN,66.6
1991,JUL,70.5
1991,AUG,69.2
1991,SEP,61.7
1991,OCT,52.1
1991,NOV,36.8
1991,DEC,35.3
1992,JAN,35.9
1992,FEB,40.6
1992,MAR,43.3
1992,APR,54.3
1992,MAY,59.1
1992,JUN,62.9
1992,JUL,68.3
1992,AUG,66.3
1992,SEP,64.4
1992,OCT,54.1
1992,NOV,34.1
1992,DEC,29.2
1993,JAN,28.3
1993,FEB,30.6
1993,MAR,42.4
1993,APR,47.6
1993,MAY,57.5
1993,JUN,64.5
1993,JUL,69.5
1993,AUG,67.3
1993,SEP,58.8
1993,OCT,48.7
1993,NOV,35.6
1993,DEC,35.4
1994,JAN,35.5
1994,FEB,31.9
1994,MAR,43.9
1994,APR,47.6
1994,MAY,60.8
1994,JUN,70
1994,JUL,71.2
1994,AUG,70.9
1994,SEP,65
1994,OCT,50.6
1994,NOV,36.6
1994,DEC,36.1
1995,JAN,34.5
1995,FEB,38.3
1995,MAR,42.1
1995,APR,45.1
1995,MAY,50.9
1995,JUN,62.4
1995,JUL,70.5
1995,AUG,74
1995,SEP,60.4
1995,OCT,50.5
1995,NOV,45
1995,DEC,36.3
1996,JAN,29.7
1996,FEB,37.7
