Month,#Passengers
2011-1,112
2011-2,118
2011-3,132
2011-4,129
2011-5,121
2011-6,135
2011-7,148
2011-8,148
2011-9,136
2011-10,119
2011-11,104
2011-12,118
2012-1,115
2012-2,126
2012-3,141
2012-4,135
2012-5,125
2012-6,149
2012-7,170
2012-8,170
2012-9,158
2012-10,133
2012-11,114
2012-12,140
2013-1,145
2013-2,150
2013-3,178
2013-4,163
2013-5,172
2013-6,178
2013-7,199
2013-8,199
2013-9,184
2013-10,162
2013-11,146
2013-12,166
2014-1,171
2014-2,180
2014-3,193
2014-4,181
2014-5,183
2014-6,218
2014-7,230
2014-8,242
2014-9,209
2014-10,191
2014-11,172
2014-12,194
2015-1,196
2015-2,196
2015-3,236
2015-4,235
2015-5,229
2015-6,243
2015-7,264
2015-8,272
2015-9,237
2015-10,211
2015-11,180
2015-12,201
2016-1,204
2016-2,188
2016-3,235
2016-4,227
2016-5,234
2016-6,264
2016-7,302
2016-8,293
2016-9,259
2016-10,229
2016-11,203
2016-12,229
2017-1,242
2017-2,233
2017-3,267
2017-4,269
2017-5,270
2017-6,315
2017-7,364
2017-8,347
2017-9,312
2017-10,274
2017-11,237
2017-12,278
2018-1,284
2018-2,277
2018-3,317
2018-4,313
2018-5,318
2018-6,374
2018-7,413
2018-8,405
2018-9,355
2018-10,306
2018-11,271
2018-12,306
2019-1,315
2019-2,301
2019-3,356
2019-4,348
2019-5,355
2019-6,422
2019-7,465
2019-8,467
2019-9,404
2019-10,347
2019-11,305
2019-12,336
2020-1,340
2020-2,318
2020-3,362
2020-4,348
2020-5,363
2020-6,435
2020-7,491
2020-8,505
2020-9,404
2020-10,359
2020-11,310
2020-12,337
2021-1,360
2021-2,342
2021-3,406
2021-4,396
2021-5,420
2021-6,472
2021-7,548
2021-8,559
2021-9,463
2021-10,407
2021-11,362
2021-12,405
2022-1,417
2022-2,391
2022-3,419
2022-4,461
2022-5,472
2022-6,535
2022-7,622
2022-8,606
2022-9,508
2022-10,461
2022-11,390
2022-12,432
